,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Average Pick
I. Crowell Cle - RB,8.63,7.74,9.45,8.76,7.8,7.87,7.38,6.97,9.41,7.21,7.01,8.62,0,7.89,7.72,9.53,7.02,0
S. Vereen NYG - RB,7.89,8.21,8.12,8.1,7.79,7.89,7.78,0,8.87,7.3,7.7,7.91,7.71,8.07,7.87,8.32,7.65,0
B. Powell NYJ - RB,7.03,7.28,7.31,7.01,7.16,7,7.55,7.96,8.56,7.51,0,7.3,8.29,8.37,8.02,7.39,7.41,0
C. Spiller NO - RB,7.2,7.86,6.99,7.51,0,7.01,7.13,6.87,7.76,6.38,6.67,6.99,7.65,7.36,7.05,7.21,6.59,0
D. Henry Ten - RB,6.79,6.87,6.95,6.8,7.46,7.61,7.53,7.02,7.91,6.94,6.97,7.09,0,6.34,6.23,7.34,6.41,0
J. McKinnon Min - RB,6.66,6.93,6.6,7.59,6.6,0,7.55,7.08,7.48,6.75,6.12,6.89,7.3,7.14,7.16,7.18,6.86,0
J. White NE - RB,9.36,9.97,9.32,10.06,10.37,9.75,9.94,10.2,0,3.63,4.16,3.77,4.18,4.22,3.77,3.77,4.1,0
J. Howard Chi - RB,5.57,6.84,6.84,6.6,6.74,6.15,6.29,6.19,0,5.42,6.02,6.05,7.18,6.7,6.4,7.14,6.14,0
J. Ajayi Mia - RB,5.24,5.93,7.33,6.1,6.72,6.04,6.56,0,6.2,6.47,6.19,7.17,6.47,6.31,5.48,6.79,6.14,0
T. Coleman Atl - RB,5.98,6.01,7.14,6.08,5.54,5.34,6.65,6.54,6.46,6.72,0,5.73,6.26,6.67,6.86,5.93,6.72,0
J. Starks GB - RB,5.7,5.86,6.12,0,6.42,6.19,6.16,5.68,6.89,5.58,5.73,6.48,5.86,5.37,6.06,6.35,5.88,0
C. Thompson Was - RB,5.78,5.76,6.2,6.26,5.67,6.18,5.95,5.65,0,5.62,5.66,5.77,5.64,6.29,5.58,5.83,5.95,0
D. Booker Den - RB,5.19,5.92,5.44,5.64,5.65,5.78,5.41,5.94,5.89,5.75,0,5.34,5.81,5.84,5.4,5.5,5.51,0
S. Draughn SF - RB,5.59,5.17,5,5.9,5.29,5.49,5.54,0,6.34,4.99,5.24,5.7,5.84,5.29,5.33,5.68,4.9,0
B. Cunningham LA - RB,5.24,4.89,5.27,5.47,5.37,5.35,5.93,0,5.19,5.12,5.02,5.45,4.93,4.99,4.8,5.45,5.09,0
